ActivityDate,Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalActivityMinutes,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-04-12 00:00:00+00:00,2347167796,10113,6.82999992370605,6.82999992370605,0.0,2.0,0.620000004768372,4.19999980926514,0.0,28,13,320,964,2344,430,0,103,1,12,False
2016-04-13 00:00:00+00:00,2347167796,10352,7.01000022888184,7.01000022888184,0.0,1.6599999666214,1.94000005722046,3.41000008583069,0.0,19,32,195,676,2038,316,0,104,2,13,False
2016-04-14 00:00:00+00:00,2347167796,10129,6.69999980926514,6.69999980926514,0.0,0.0199999995529652,2.74000000953674,3.94000005722046,0.0,1,48,206,705,2010,305,0,105,3,14,False
2016-04-15 00:00:00+00:00,2347167796,10465,6.92000007629395,6.92000007629395,0.0,0.0700000002980232,1.41999995708466,5.42999982833862,0.0,1,24,284,720,2133,335,0,106,4,15,False
2016-04-16 00:00:00+00:00,2347167796,22244,15.0799999237061,15.0799999237061,0.0,5.44999980926514,4.09999990463257,5.53000020980835,0.0,66,72,268,968,2670,610,0,107,5,16,True
2016-04-17 00:00:00+00:00,2347167796,5472,3.61999988555908,3.61999988555908,0.0,0.0799999982118607,0.280000001192093,3.25999999046326,0.0,1,7,249,508,1882,266,0,108,6,17,True
2016-04-18 00:00:00+00:00,2347167796,8247,5.44999980926514,5.44999980926514,0.0,0.790000021457672,0.860000014305115,3.78999996185303,0.0,11,16,206,678,1944,271,0,109,0,18,False
2016-04-19 00:00:00+00:00,2347167796,6711,4.44000005722046,4.44000005722046,0.0,0.0,0.0,4.44000005722046,0.0,0,7,382,648,2346,396,0,110,1,19,False
2016-04-20 00:00:00+00:00,2347167796,10999,7.26999998092651,7.26999998092651,0.0,0.680000007152557,1.80999994277954,4.78000020980835,0.0,11,43,269,1011,2198,388,0,111,2,20,False
2016-04-21 00:00:00+00:00,2347167796,10080,6.75,6.75,0.0,1.85000002384186,1.52999997138977,3.38000011444092,0.0,23,26,208,761,2048,329,0,112,3,21,False
2016-04-22 00:00:00+00:00,2347167796,7804,5.15999984741211,5.15999984741211,0.0,0.560000002384186,1.67999994754791,2.92000007629395,0.0,9,27,206,781,1946,287,0,113,4,22,False
2016-04-23 00:00:00+00:00,2347167796,16901,11.3699998855591,11.3699998855591,0.0,2.77999997138977,1.45000004768372,7.15000009536743,0.0,32,35,360,591,2629,526,0,114,5,23,True
2016-04-24 00:00:00+00:00,2347167796,9471,6.26000022888184,6.26000022888184,0.0,0.0,0.0,6.26000022888184,0.0,0,0,360,584,2187,360,0,115,6,24,True
2016-04-25 00:00:00+00:00,2347167796,9482,6.38000011444092,6.38000011444092,0.0,1.26999998092651,0.519999980926514,4.59999990463257,0.0,15,11,277,653,2095,344,0,116,0,25,False
2016-04-26 00:00:00+00:00,2347167796,5980,3.95000004768372,3.95000004768372,0.0,0.0,0.0,3.95000004768372,0.0,0,0,227,732,1861,227,0,117,1,26,False
2016-04-27 00:00:00+00:00,2347167796,11423,7.57999992370605,7.57999992370605,0.0,1.86000001430511,0.400000005960464,5.32000017166138,0.0,26,9,295,623,2194,391,0,118,2,27,False
2016-04-28 00:00:00+00:00,2347167796,5439,3.59999990463257,3.59999990463257,0.0,0.0,0.0,3.59999990463257,0.0,0,0,229,764,1854,229,0,119,3,28,False
2016-04-29 00:00:00+00:00,2347167796,42,0.0299999993294477,0.0299999993294477,0.0,0.0,0.0,0.0299999993294477,0.0,0,0,4,2,403,4,0,120,4,29,False
